id,sensortype,data
3347,Humid,18
3348,Gas,823
3349,Temp,25
3350,Humid,39
3351,Gas,820
3352,Temp,25
3353,Humid,18
3354,Gas,822
3355,Temp,28
3356,Humid,18
3357,Gas,822
3358,Temp,27
3359,Humid,17
3360,Gas,822
3361,Temp,25
3362,Humid,36
3363,Gas,822
3364,Temp,26
3365,Humid,18
3366,Gas,821
3367,Temp,25
3368,Humid,18
3369,Gas,821
3370,Temp,25
3371,Humid,18
3372,Gas,821
3373,Temp,25
3374,Humid,19
3375,Gas,821
3376,Temp,27
3377,Humid,17
3378,Gas,821
3379,Temp,28
3380,Humid,22
3381,Gas,820
3382,Temp,25
3383,Humid,19
3384,Gas,819
3385,Temp,25
3386,Humid,20
3387,Gas,817
3388,Temp,25
3389,Humid,20
3390,Gas,814
3391,Temp,25
3392,Humid,24
3393,Gas,821
3394,Temp,27
3395,Humid,19
3396,Gas,813
